id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path,text
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/15970.jpg,Casual | Turtle Check Men Navy Blue Shirt
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/39386.jpg,Casual | Peter England Men Party Blue Jeans
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/59263.jpg,Casual | Titan Women Silver Watch
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/21379.jpg,Casual | Manchester United Men Solid Black Track Pants
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/53759.jpg,Casual | Puma Men Grey T-shirt
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/1855.jpg,Casual | Inkfruit Mens Chain Reaction T-shirt
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/30805.jpg,Ethnic | Fabindia Men Striped Green Shirt
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/26960.jpg,Casual | Jealous 21 Women Purple Shirt
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/29114.jpg,Casual | Puma Men Pack of 3 Socks
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Skagen Men Black Watch,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/30039.jpg,Casual | Skagen Men Black Watch
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/9204.jpg,Casual | Puma Men Future Cat Remix SF Black Casual Shoes
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/48123.jpg,Casual | Fossil Women Black Huarache Weave Belt
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/18653.jpg,Casual | Fila Men Cush Flex Black Slippers
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/47957.jpg,Casual | Murcia Women Blue Handbag
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/46885.jpg,Casual | Ben 10 Boys Navy Blue Slippers
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/12369.jpg,Formal | Reid & Taylor Men Check Purple Shirts
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/29928.jpg,Casual | Police Men Black Dial Watch PL12889JVSB
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/42419.jpg,Casual | Gini and Jony Girls Knit White Top
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/51832.jpg,Casual | Bwitch Beige Full-Coverage Bra BW335
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/47359.jpg,Casual | Baggit Women Brown Handbag
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/17429.jpg,Casual | CASIO G-Shock Men Black Digital Watch G-7710-1DR G223
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/12967.jpg,Casual | ADIDAS Men Spry M Black Sandals
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/6842.jpg,Casual | Timberland Unisex Rubber Sole Brush Shoe Accessories
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/13089.jpg,Sports | ADIDAS Men Lfc Auth Hood Grey Sweatshirts
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/18461.jpg,Casual | David Beckham Signature Men Deos
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/9036.jpg,Formal | Buckaroo Men Flores Black Formal Shoes
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/48311.jpg,Casual | Pitaraa Women Bronze Beaded Bracelet
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/7990.jpg,Sports | Fila Men's Round Neck Navy Blue T-shirt
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/56019.jpg,Casual | Colorbar Soft Touch Show Stopper Copper Lipstick 037
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/21977.jpg,Casual | Murcia Women Casual Brown Handbag
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/37812.jpg,Formal | John Players Men Navy Blue Shirt
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/4729.jpg,Casual | Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/56825.jpg,Casual | John Players Men Brown Shirt
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/39988.jpg,Casual | Gas Men Europa White Shoes
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/59051.jpg,Casual | Carlton London Women Black & Gold Toned Flats
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/20099.jpg,Ethnic | Diva Women Embroided Green Kurta
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/58183.jpg,Casual | Rocky S Women White Handbag
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/29742.jpg,Casual | Kiara Women Teal Handbag
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/51658.jpg,Casual | Fossil Women Copper Chronograph Watch CH2589
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/3954.jpg,Casual | Jealous 21 Women's Pink T-shirt
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/18839.jpg,Formal | Peter England Men Formal Black Belt
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/2886.jpg,Casual | Catwalk Women Leather Brown Flats
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/23278.jpg,Casual | Maxima Ssteele Men Off White Watch
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/28690.jpg,Ethnic | W Women Printed Beige Kurta
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/8580.jpg,Casual | Scullers Men  Grey Waistcoat
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/3168.jpg,Sports | Nike Men's Incinerate MSL White Blue Shoe
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,/kaggle/input/fashion-product-images-dataset/fashion-dataset/images/18005.jpg,Sports | Puma Men Long Logo Black Bermuda
